"TimeStep","Gradient:0","Gradient:1","Gradient:2","temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4,0.00044957,0,0,0,1,0,0,0.5,0
4,0.00044956,-1.3861e-10,0,4.4957e-07,1,0.001,0.001,0.5,0
4,0.00044956,-2.7722e-10,0,8.9915e-07,1,0.002,0.002,0.5,0
4,0.00044955,-4.1584e-10,0,1.3487e-06,1,0.003,0.003,0.5,0
4,0.00044954,-5.5445e-10,0,1.7983e-06,1,0.004,0.004,0.5,0
4,0.00044953,-6.9306e-10,0,2.2479e-06,1,0.005,0.005,0.5,0
4,0.00044952,-8.3167e-10,0,2.6974e-06,1,0.006,0.006,0.5,0
4,0.00044951,-9.7028e-10,0,3.147e-06,1,0.007,0.007,0.5,0
4,0.0004495,-1.1089e-09,0,3.5966e-06,1,0.008,0.008,0.5,0
4,0.00044949,-1.2475e-09,0,4.0462e-06,1,0.009,0.009,0.5,0
4,0.00044948,-1.3861e-09,0,4.4957e-06,1,0.01,0.01,0.5,0
4,0.00044945,-2.3726e-09,0,4.9451e-06,1,0.011,0.011,0.5,0
4,0.00044942,-3.3591e-09,0,5.3945e-06,1,0.012,0.012,0.5,0
4,0.00044939,-4.3456e-09,0,5.8439e-06,1,0.013,0.013,0.5,0
4,0.00044937,-5.3321e-09,0,6.2933e-06,1,0.014,0.014,0.5,0
4,0.00044934,-6.3186e-09,0,6.7427e-06,1,0.015,0.015,0.5,0
4,0.00044931,-7.3051e-09,0,7.1921e-06,1,0.016,0.016,0.5,0
4,0.00044928,-8.2915e-09,0,7.6415e-06,1,0.017,0.017,0.5,0
4,0.00044925,-9.278e-09,0,8.0909e-06,1,0.018,0.018,0.5,0
4,0.00044922,-1.0265e-08,0,8.5403e-06,1,0.019,0.019,0.5,0
4,0.00044919,-1.1251e-08,0,8.9896e-06,1,0.02,0.02,0.5,0
4,0.00044914,-1.1742e-08,0,9.4386e-06,1,0.021,0.021,0.5,0
4,0.00044909,-1.2233e-08,0,9.8876e-06,1,0.022,0.022,0.5,0
4,0.00044904,-1.2725e-08,0,1.0337e-05,1,0.023,0.023,0.5,0
4,0.00044899,-1.3216e-08,0,1.0786e-05,1,0.024,0.024,0.5,0
4,0.00044894,-1.3707e-08,0,1.1235e-05,1,0.025,0.025,0.5,0
4,0.00044888,-1.4198e-08,0,1.1684e-05,1,0.026,0.026,0.5,0
4,0.00044883,-1.4689e-08,0,1.2133e-05,1,0.027,0.027,0.5,0
4,0.00044878,-1.518e-08,0,1.2582e-05,1,0.028,0.028,0.5,0
4,0.00044873,-1.5672e-08,0,1.3031e-05,1,0.029,0.029,0.5,0
4,0.00044868,-1.6163e-08,0,1.348e-05,1,0.03,0.03,0.5,0
4,0.00044861,-1.5597e-08,0,1.3928e-05,1,0.031,0.031,0.5,0
4,0.00044854,-1.5031e-08,0,1.4376e-05,1,0.032,0.032,0.5,0
4,0.00044847,-1.4465e-08,0,1.4825e-05,1,0.033,0.033,0.5,0
4,0.00044839,-1.3899e-08,0,1.5273e-05,1,0.034,0.034,0.5,0
4,0.00044832,-1.3334e-08,0,1.5721e-05,1,0.035,0.035,0.5,0
4,0.00044825,-1.2768e-08,0,1.617e-05,1,0.036,0.036,0.5,0
4,0.00044818,-1.2202e-08,0,1.6618e-05,1,0.037,0.037,0.5,0
4,0.00044811,-1.1636e-08,0,1.7067e-05,1,0.038,0.038,0.5,0
4,0.00044803,-1.107e-08,0,1.7515e-05,1,0.039,0.039,0.5,0
4,0.00044796,-1.0505e-08,0,1.7963e-05,1,0.04,0.04,0.5,0
4,0.00044787,-9.5958e-09,0,1.8411e-05,1,0.041,0.041,0.5,0
4,0.00044778,-8.6872e-09,0,1.8858e-05,1,0.042,0.042,0.5,0
4,0.00044769,-7.7785e-09,0,1.9306e-05,1,0.043,0.043,0.5,0
4,0.00044759,-6.8698e-09,0,1.9753e-05,1,0.044,0.044,0.5,0
4,0.0004475,-5.9612e-09,0,2.0201e-05,1,0.045,0.045,0.5,0
4,0.00044741,-5.0525e-09,0,2.0649e-05,1,0.046,0.046,0.5,0
4,0.00044732,-4.1438e-09,0,2.1096e-05,1,0.047,0.047,0.5,0
4,0.00044722,-3.2351e-09,0,2.1544e-05,1,0.048,0.048,0.5,0
4,0.00044713,-2.3265e-09,0,2.1991e-05,1,0.049,0.049,0.5,0
4,0.00044704,-1.4178e-09,0,2.2439e-05,1,0.05,0.05,0.5,0
4,0.00044693,-7.0783e-10,0,2.2885e-05,1,0.051,0.051,0.5,0
4,0.00044681,2.1355e-12,0,2.3332e-05,1,0.052,0.052,0.5,0
4,0.0004467,7.121e-10,0,2.3778e-05,1,0.053,0.053,0.5,0
4,0.00044659,1.4221e-09,0,2.4225e-05,1,0.054,0.054,0.5,0
4,0.00044647,2.132e-09,0,2.4671e-05,1,0.055,0.055,0.5,0
4,0.00044636,2.842e-09,0,2.5118e-05,1,0.056,0.056,0.5,0
4,0.00044624,3.5519e-09,0,2.5564e-05,1,0.057,0.057,0.5,0
4,0.00044613,4.2619e-09,0,2.6011e-05,1,0.058,0.058,0.5,0
4,0.00044602,4.9719e-09,0,2.6458e-05,1,0.059,0.059,0.5,0
4,0.0004459,5.6818e-09,0,2.6904e-05,1,0.06,0.06,0.5,0
4,0.00044577,6.1117e-09,0,2.7349e-05,1,0.061,0.061,0.5,0
4,0.00044563,6.5415e-09,0,2.7795e-05,1,0.062,0.062,0.5,0
4,0.00044549,6.9714e-09,0,2.824e-05,1,0.063,0.063,0.5,0
4,0.00044535,7.4013e-09,0,2.8685e-05,1,0.064,0.064,0.5,0
4,0.00044522,7.8311e-09,0,2.913e-05,1,0.065,0.065,0.5,0
4,0.00044508,8.261e-09,0,2.9576e-05,1,0.066,0.066,0.5,0
4,0.00044494,8.6908e-09,0,3.0021e-05,1,0.067,0.067,0.5,0
4,0.00044481,9.1207e-09,0,3.0466e-05,1,0.068,0.068,0.5,0
4,0.00044467,9.5506e-09,0,3.0912e-05,1,0.069,0.069,0.5,0
4,0.00044453,9.9804e-09,0,3.1357e-05,1,0.07,0.07,0.5,0
4,0.00044437,1.0234e-08,0,3.1801e-05,1,0.071,0.071,0.5,0
4,0.00044421,1.0489e-08,0,3.2244e-05,1,0.072,0.072,0.5,0
4,0.00044405,1.0743e-08,0,3.2688e-05,1,0.073,0.073,0.5,0
4,0.00044389,1.0997e-08,0,3.3132e-05,1,0.074,0.074,0.5,0
4,0.00044373,1.1251e-08,0,3.3576e-05,1,0.075,0.075,0.5,0
4,0.00044357,1.1505e-08,0,3.402e-05,1,0.076,0.076,0.5,0
4,0.0004434,1.1759e-08,0,3.4463e-05,1,0.077,0.077,0.5,0
4,0.00044324,1.2013e-08,0,3.4907e-05,1,0.078,0.078,0.5,0
4,0.00044308,1.2267e-08,0,3.5351e-05,1,0.079,0.079,0.5,0
4,0.00044292,1.2521e-08,0,3.5795e-05,1,0.08,0.08,0.5,0
4,0.00044273,1.269e-08,0,3.6237e-05,1,0.081,0.081,0.5,0
4,0.00044254,1.2859e-08,0,3.6679e-05,1,0.082,0.082,0.5,0
4,0.00044236,1.3029e-08,0,3.7121e-05,1,0.083,0.083,0.5,0
4,0.00044217,1.3198e-08,0,3.7563e-05,1,0.084,0.084,0.5,0
4,0.00044198,1.3367e-08,0,3.8005e-05,1,0.085,0.085,0.5,0
4,0.0004418,1.3536e-08,0,3.8447e-05,1,0.086,0.086,0.5,0
4,0.00044161,1.3705e-08,0,3.8889e-05,1,0.087,0.087,0.5,0
4,0.00044142,1.3874e-08,0,3.9331e-05,1,0.088,0.088,0.5,0
4,0.00044123,1.4043e-08,0,3.9773e-05,1,0.089,0.089,0.5,0
4,0.00044105,1.4212e-08,0,4.0215e-05,1,0.09,0.09,0.5,0
4,0.00044083,1.4341e-08,0,4.0655e-05,1,0.091,0.091,0.5,0
4,0.00044062,1.4469e-08,0,4.1095e-05,1,0.092,0.092,0.5,0
4,0.0004404,1.4598e-08,0,4.1535e-05,1,0.093,0.093,0.5,0
4,0.00044019,1.4726e-08,0,4.1975e-05,1,0.094,0.094,0.5,0
4,0.00043997,1.4855e-08,0,4.2415e-05,1,0.095,0.095,0.5,0
4,0.00043976,1.4983e-08,0,4.2856e-05,1,0.096,0.096,0.5,0
4,0.00043954,1.5112e-08,0,4.3296e-05,1,0.097,0.097,0.5,0
4,0.00043933,1.5241e-08,0,4.3736e-05,1,0.098,0.098,0.5,0
4,0.00043912,1.5369e-08,0,4.4176e-05,1,0.099,0.099,0.5,0
4,0.0004389,1.5498e-08,0,4.4616e-05,1,0.1,0.1,0.5,0
4,0.00043866,1.5605e-08,0,4.5053e-05,1,0.101,0.101,0.5,0
4,0.00043841,1.5713e-08,0,4.5491e-05,1,0.102,0.102,0.5,0
4,0.00043817,1.582e-08,0,4.5929e-05,1,0.103,0.103,0.5,0
4,0.00043793,1.5928e-08,0,4.6367e-05,1,0.104,0.104,0.5,0
4,0.00043768,1.6035e-08,0,4.6804e-05,1,0.105,0.105,0.5,0
4,0.00043744,1.6143e-08,0,4.7242e-05,1,0.106,0.106,0.5,0
4,0.0004372,1.625e-08,0,4.768e-05,1,0.107,0.107,0.5,0
4,0.00043695,1.6358e-08,0,4.8118e-05,1,0.108,0.108,0.5,0
4,0.00043671,1.6465e-08,0,4.8556e-05,1,0.109,0.109,0.5,0
4,0.00043647,1.6573e-08,0,4.8993e-05,1,0.11,0.11,0.5,0
4,0.00043619,1.6669e-08,0,4.9428e-05,1,0.111,0.111,0.5,0
4,0.00043592,1.6765e-08,0,4.9864e-05,1,0.112,0.112,0.5,0
4,0.00043564,1.6862e-08,0,5.0299e-05,1,0.113,0.113,0.5,0
4,0.00043537,1.6958e-08,0,5.0734e-05,1,0.114,0.114,0.5,0
4,0.0004351,1.7054e-08,0,5.1169e-05,1,0.115,0.115,0.5,0
4,0.00043482,1.7151e-08,0,5.1604e-05,1,0.116,0.116,0.5,0
4,0.00043455,1.7247e-08,0,5.2039e-05,1,0.117,0.117,0.5,0
4,0.00043427,1.7343e-08,0,5.2475e-05,1,0.118,0.118,0.5,0
4,0.000434,1.744e-08,0,5.291e-05,1,0.119,0.119,0.5,0
4,0.00043373,1.7536e-08,0,5.3345e-05,1,0.12,0.12,0.5,0
4,0.00043342,1.7625e-08,0,5.3777e-05,1,0.121,0.121,0.5,0
4,0.00043311,1.7715e-08,0,5.421e-05,1,0.122,0.122,0.5,0
4,0.00043281,1.7804e-08,0,5.4642e-05,1,0.123,0.123,0.5,0
4,0.0004325,1.7894e-08,0,5.5074e-05,1,0.124,0.124,0.5,0
4,0.0004322,1.7983e-08,0,5.5506e-05,1,0.125,0.125,0.5,0
4,0.00043189,1.8073e-08,0,5.5939e-05,1,0.126,0.126,0.5,0
4,0.00043158,1.8163e-08,0,5.6371e-05,1,0.127,0.127,0.5,0
4,0.00043128,1.8252e-08,0,5.6803e-05,1,0.128,0.128,0.5,0
4,0.00043097,1.8342e-08,0,5.7236e-05,1,0.129,0.129,0.5,0
4,0.00043066,1.8431e-08,0,5.7668e-05,1,0.13,0.13,0.5,0
4,0.00043032,1.8514e-08,0,5.8097e-05,1,0.131,0.131,0.5,0
4,0.00042998,1.8598e-08,0,5.8526e-05,1,0.132,0.132,0.5,0
4,0.00042964,1.8681e-08,0,5.8955e-05,1,0.133,0.133,0.5,0
4,0.0004293,1.8765e-08,0,5.9384e-05,1,0.134,0.134,0.5,0
4,0.00042896,1.8848e-08,0,5.9813e-05,1,0.135,0.135,0.5,0
4,0.00042862,1.8932e-08,0,6.0242e-05,1,0.136,0.136,0.5,0
4,0.00042828,1.9015e-08,0,6.0671e-05,1,0.137,0.137,0.5,0
4,0.00042794,1.9098e-08,0,6.11e-05,1,0.138,0.138,0.5,0
4,0.0004276,1.9182e-08,0,6.1529e-05,1,0.139,0.139,0.5,0
4,0.00042726,1.9265e-08,0,6.1958e-05,1,0.14,0.14,0.5,0
4,0.00042688,1.9341e-08,0,6.2384e-05,1,0.141,0.141,0.5,0
4,0.00042651,1.9418e-08,0,6.2809e-05,1,0.142,0.142,0.5,0
4,0.00042613,1.9494e-08,0,6.3235e-05,1,0.143,0.143,0.5,0
4,0.00042575,1.957e-08,0,6.366e-05,1,0.144,0.144,0.5,0
4,0.00042538,1.9646e-08,0,6.4086e-05,1,0.145,0.145,0.5,0
4,0.000425,1.9722e-08,0,6.4511e-05,1,0.146,0.146,0.5,0
4,0.00042463,1.9798e-08,0,6.4937e-05,1,0.147,0.147,0.5,0
4,0.00042425,1.9874e-08,0,6.5362e-05,1,0.148,0.148,0.5,0
4,0.00042387,1.995e-08,0,6.5788e-05,1,0.149,0.149,0.5,0
4,0.0004235,2.0026e-08,0,6.6213e-05,1,0.15,0.15,0.5,0
4,0.00042308,2.0094e-08,0,6.6635e-05,1,0.151,0.151,0.5,0
4,0.00042267,2.0161e-08,0,6.7056e-05,1,0.152,0.152,0.5,0
4,0.00042225,2.0228e-08,0,6.7478e-05,1,0.153,0.153,0.5,0
4,0.00042184,2.0295e-08,0,6.7899e-05,1,0.154,0.154,0.5,0
4,0.00042143,2.0362e-08,0,6.8321e-05,1,0.155,0.155,0.5,0
4,0.00042101,2.0429e-08,0,6.8742e-05,1,0.156,0.156,0.5,0
4,0.0004206,2.0497e-08,0,6.9164e-05,1,0.157,0.157,0.5,0
4,0.00042018,2.0564e-08,0,6.9585e-05,1,0.158,0.158,0.5,0
4,0.00041977,2.0631e-08,0,7.0007e-05,1,0.159,0.159,0.5,0
4,0.00041935,2.0698e-08,0,7.0428e-05,1,0.16,0.16,0.5,0
4,0.0004189,2.0755e-08,0,7.0845e-05,1,0.161,0.161,0.5,0
4,0.00041845,2.0812e-08,0,7.1263e-05,1,0.162,0.162,0.5,0
4,0.00041799,2.0869e-08,0,7.168e-05,1,0.163,0.163,0.5,0
4,0.00041754,2.0926e-08,0,7.2097e-05,1,0.164,0.164,0.5,0
4,0.00041708,2.0983e-08,0,7.2514e-05,1,0.165,0.165,0.5,0
4,0.00041663,2.104e-08,0,7.2931e-05,1,0.166,0.166,0.5,0
4,0.00041617,2.1097e-08,0,7.3349e-05,1,0.167,0.167,0.5,0
4,0.00041572,2.1154e-08,0,7.3766e-05,1,0.168,0.168,0.5,0
4,0.00041527,2.1211e-08,0,7.4183e-05,1,0.169,0.169,0.5,0
4,0.00041481,2.1268e-08,0,7.46e-05,1,0.17,0.17,0.5,0
4,0.00041432,2.1313e-08,0,7.5013e-05,1,0.171,0.171,0.5,0
4,0.00041382,2.1359e-08,0,7.5425e-05,1,0.172,0.172,0.5,0
4,0.00041333,2.1405e-08,0,7.5837e-05,1,0.173,0.173,0.5,0
4,0.00041283,2.1451e-08,0,7.625e-05,1,0.174,0.174,0.5,0
4,0.00041233,2.1497e-08,0,7.6662e-05,1,0.175,0.175,0.5,0
