"TimeStep","Gradient:0","Gradient:1","Gradient:2","temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.00019458,0,0,0,1,0,0,0.5,0
1,0.0001948,2.2136e-10,0,1.9458e-07,1,0.001,0.001,0.5,0
1,0.00019502,4.4272e-10,0,3.8915e-07,1,0.002,0.002,0.5,0
1,0.00019524,6.6408e-10,0,5.8373e-07,1,0.003,0.003,0.5,0
1,0.00019546,8.8543e-10,0,7.783e-07,1,0.004,0.004,0.5,0
1,0.00019568,1.1068e-09,0,9.7288e-07,1,0.005,0.005,0.5,0
1,0.0001959,1.3282e-09,0,1.1675e-06,1,0.006,0.006,0.5,0
1,0.00019612,1.5495e-09,0,1.362e-06,1,0.007,0.007,0.5,0
1,0.00019634,1.7709e-09,0,1.5566e-06,1,0.008,0.008,0.5,0
1,0.00019657,1.9922e-09,0,1.7512e-06,1,0.009,0.009,0.5,0
1,0.00019679,2.2136e-09,0,1.9458e-06,1,0.01,0.01,0.5,0
1,0.00019745,2.293e-09,0,2.1448e-06,1,0.011,0.011,0.5,0
1,0.00019812,2.3724e-09,0,2.3438e-06,1,0.012,0.012,0.5,0
1,0.00019878,2.4518e-09,0,2.5428e-06,1,0.013,0.013,0.5,0
1,0.00019945,2.5312e-09,0,2.7418e-06,1,0.014,0.014,0.5,0
1,0.00020011,2.6106e-09,0,2.9408e-06,1,0.015,0.015,0.5,0
1,0.00020078,2.69e-09,0,3.1397e-06,1,0.016,0.016,0.5,0
1,0.00020144,2.7694e-09,0,3.3387e-06,1,0.017,0.017,0.5,0
1,0.00020211,2.8487e-09,0,3.5377e-06,1,0.018,0.018,0.5,0
1,0.00020277,2.9281e-09,0,3.7367e-06,1,0.019,0.019,0.5,0
1,0.00020344,3.0075e-09,0,3.9357e-06,1,0.02,0.02,0.5,0
1,0.00020455,3.2508e-09,0,4.1436e-06,1,0.021,0.021,0.5,0
1,0.00020566,3.4941e-09,0,4.3515e-06,1,0.022,0.022,0.5,0
1,0.00020678,3.7374e-09,0,4.5594e-06,1,0.023,0.023,0.5,0
1,0.00020789,3.9807e-09,0,4.7672e-06,1,0.024,0.024,0.5,0
1,0.000209,4.224e-09,0,4.9751e-06,1,0.025,0.025,0.5,0
1,0.00021012,4.4673e-09,0,5.183e-06,1,0.026,0.026,0.5,0
1,0.00021123,4.7106e-09,0,5.3909e-06,1,0.027,0.027,0.5,0
1,0.00021235,4.9539e-09,0,5.5987e-06,1,0.028,0.028,0.5,0
1,0.00021346,5.1972e-09,0,5.8066e-06,1,0.029,0.029,0.5,0
1,0.00021457,5.4405e-09,0,6.0145e-06,1,0.03,0.03,0.5,0
1,0.00021615,5.9831e-09,0,6.2357e-06,1,0.031,0.031,0.5,0
1,0.00021772,6.5258e-09,0,6.457e-06,1,0.032,0.032,0.5,0
1,0.00021929,7.0684e-09,0,6.6783e-06,1,0.033,0.033,0.5,0
1,0.00022086,7.6111e-09,0,6.8996e-06,1,0.034,0.034,0.5,0
1,0.00022243,8.1537e-09,0,7.1208e-06,1,0.035,0.035,0.5,0
1,0.00022401,8.6964e-09,0,7.3421e-06,1,0.036,0.036,0.5,0
1,0.00022558,9.239e-09,0,7.5634e-06,1,0.037,0.037,0.5,0
1,0.00022715,9.7817e-09,0,7.7847e-06,1,0.038,0.038,0.5,0
1,0.00022872,1.0324e-08,0,8.0059e-06,1,0.039,0.039,0.5,0
1,0.00023029,1.0867e-08,0,8.2272e-06,1,0.04,0.04,0.5,0
1,0.00023234,1.1504e-08,0,8.4665e-06,1,0.041,0.041,0.5,0
1,0.00023438,1.2142e-08,0,8.7058e-06,1,0.042,0.042,0.5,0
1,0.00023642,1.2779e-08,0,8.9452e-06,1,0.043,0.043,0.5,0
1,0.00023847,1.3416e-08,0,9.1845e-06,1,0.044,0.044,0.5,0
1,0.00024051,1.4054e-08,0,9.4238e-06,1,0.045,0.045,0.5,0
1,0.00024255,1.4691e-08,0,9.6631e-06,1,0.046,0.046,0.5,0
1,0.00024459,1.5329e-08,0,9.9024e-06,1,0.047,0.047,0.5,0
1,0.00024664,1.5966e-08,0,1.0142e-05,1,0.048,0.048,0.5,0
1,0.00024868,1.6603e-08,0,1.0381e-05,1,0.049,0.049,0.5,0
1,0.00025072,1.7241e-08,0,1.062e-05,1,0.05,0.05,0.5,0
1,0.00025325,1.7818e-08,0,1.0882e-05,1,0.051,0.051,0.5,0
1,0.00025578,1.8396e-08,0,1.1145e-05,1,0.052,0.052,0.5,0
1,0.00025831,1.8974e-08,0,1.1407e-05,1,0.053,0.053,0.5,0
1,0.00026084,1.9552e-08,0,1.1669e-05,1,0.054,0.054,0.5,0
1,0.00026337,2.013e-08,0,1.1931e-05,1,0.055,0.055,0.5,0
1,0.00026589,2.0708e-08,0,1.2193e-05,1,0.056,0.056,0.5,0
1,0.00026842,2.1286e-08,0,1.2455e-05,1,0.057,0.057,0.5,0
1,0.00027095,2.1864e-08,0,1.2717e-05,1,0.058,0.058,0.5,0
1,0.00027348,2.2441e-08,0,1.298e-05,1,0.059,0.059,0.5,0
1,0.00027601,2.3019e-08,0,1.3242e-05,1,0.06,0.06,0.5,0
1,0.00027904,2.3522e-08,0,1.3532e-05,1,0.061,0.061,0.5,0
1,0.00028207,2.4024e-08,0,1.3821e-05,1,0.062,0.062,0.5,0
1,0.0002851,2.4527e-08,0,1.4111e-05,1,0.063,0.063,0.5,0
1,0.00028813,2.5029e-08,0,1.4401e-05,1,0.064,0.064,0.5,0
1,0.00029116,2.5531e-08,0,1.4691e-05,1,0.065,0.065,0.5,0
1,0.0002942,2.6034e-08,0,1.4981e-05,1,0.066,0.066,0.5,0
1,0.00029723,2.6536e-08,0,1.5271e-05,1,0.067,0.067,0.5,0
1,0.00030026,2.7039e-08,0,1.5561e-05,1,0.068,0.068,0.5,0
1,0.00030329,2.7541e-08,0,1.5851e-05,1,0.069,0.069,0.5,0
1,0.00030632,2.8044e-08,0,1.6141e-05,1,0.07,0.07,0.5,0
1,0.00030987,2.8508e-08,0,1.6463e-05,1,0.071,0.071,0.5,0
1,0.00031342,2.8973e-08,0,1.6786e-05,1,0.072,0.072,0.5,0
1,0.00031698,2.9437e-08,0,1.7109e-05,1,0.073,0.073,0.5,0
1,0.00032053,2.9902e-08,0,1.7432e-05,1,0.074,0.074,0.5,0
1,0.00032408,3.0366e-08,0,1.7754e-05,1,0.075,0.075,0.5,0
1,0.00032763,3.0831e-08,0,1.8077e-05,1,0.076,0.076,0.5,0
1,0.00033119,3.1295e-08,0,1.84e-05,1,0.077,0.077,0.5,0
1,0.00033474,3.176e-08,0,1.8723e-05,1,0.078,0.078,0.5,0
1,0.00033829,3.2224e-08,0,1.9045e-05,1,0.079,0.079,0.5,0
1,0.00034184,3.2689e-08,0,1.9368e-05,1,0.08,0.08,0.5,0
1,0.00034594,3.3146e-08,0,1.9729e-05,1,0.081,0.081,0.5,0
1,0.00035003,3.3604e-08,0,2.009e-05,1,0.082,0.082,0.5,0
1,0.00035412,3.4061e-08,0,2.0451e-05,1,0.083,0.083,0.5,0
1,0.00035822,3.4518e-08,0,2.0812e-05,1,0.084,0.084,0.5,0
1,0.00036231,3.4976e-08,0,2.1173e-05,1,0.085,0.085,0.5,0
1,0.0003664,3.5433e-08,0,2.1534e-05,1,0.086,0.086,0.5,0
1,0.0003705,3.589e-08,0,2.1895e-05,1,0.087,0.087,0.5,0
1,0.00037459,3.6347e-08,0,2.2256e-05,1,0.088,0.088,0.5,0
1,0.00037868,3.6805e-08,0,2.2616e-05,1,0.089,0.089,0.5,0
1,0.00038277,3.7262e-08,0,2.2977e-05,1,0.09,0.09,0.5,0
1,0.00038743,3.7727e-08,0,2.3382e-05,1,0.091,0.091,0.5,0
1,0.00039208,3.8191e-08,0,2.3787e-05,1,0.092,0.092,0.5,0
1,0.00039673,3.8656e-08,0,2.4191e-05,1,0.093,0.093,0.5,0
1,0.00040139,3.9121e-08,0,2.4596e-05,1,0.094,0.094,0.5,0
1,0.00040604,3.9585e-08,0,2.5e-05,1,0.095,0.095,0.5,0
1,0.00041069,4.005e-08,0,2.5405e-05,1,0.096,0.096,0.5,0
1,0.00041534,4.0514e-08,0,2.581e-05,1,0.097,0.097,0.5,0
1,0.00042,4.0979e-08,0,2.6214e-05,1,0.098,0.098,0.5,0
1,0.00042465,4.1444e-08,0,2.6619e-05,1,0.099,0.099,0.5,0
